Locode,Phrase,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,AvgMsv,Competition,CostPerClick
AU,cheap rooms,170.0,140.0,140.0,140.0,170.0,170.0,140.0,140.0,140.0,110.0,110.0,170.0,140.0,0.617376775,3.906796
AU,cheap snowboards,140.0,260.0,320.0,390.0,260.0,110.0,90.0,70.0,90.0,170.0,110.0,140.0,170.0,1.0,0.627572
AU,cheap swimming pools,140.0,110.0,90.0,110.0,170.0,210.0,320.0,720.0,720.0,880.0,390.0,210.0,320.0,1.0,1.319238
AU,cheap web hosting,880.0,1000.0,880.0,880.0,880.0,880.0,880.0,880.0,720.0,720.0,720.0,880.0,880.0,0.947903014,13.161887
AU,cheeseboard pizza,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.14285714285714002,
AU,chicken breast calories,2400.0,2400.0,1900.0,2400.0,2400.0,2400.0,2400.0,2400.0,1600.0,2900.0,2400.0,2400.0,2400.0,0.0055545912168019984,
AU,chicken tagine,1600.0,1600.0,1900.0,1600.0,1600.0,1600.0,1300.0,1000.0,720.0,1000.0,1300.0,1300.0,1300.0,0.20247853239657,0.049476
AU,child care resources,90.0,110.0,110.0,70.0,90.0,50.0,90.0,70.0,40.0,70.0,90.0,70.0,70.0,0.18452380952381,
AU,child safety gate,1000.0,1000.0,1000.0,1300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1300.0,1000.0,1600.0,1300.0,1.0,0.329548
AU,chocolate brownies,12100.0,14800.0,18100.0,18100.0,14800.0,14800.0,12100.0,9900.0,9900.0,8100.0,9900.0,14800.0,12100.0,0.03916948,0.142103
AU,chris pratt,33100.0,27100.0,22200.0,27100.0,18100.0,33100.0,33100.0,27100.0,90500.0,60500.0,27100.0,33100.0,33100.0,0.000533956,
AU,christmas wrapping paper,70.0,40.0,170.0,210.0,260.0,590.0,1600.0,4400.0,4400.0,170.0,110.0,140.0,1000.0,0.24897959200000006,0.914814
AU,chrome password manager,320.0,390.0,320.0,390.0,390.0,390.0,390.0,210.0,110.0,170.0,140.0,260.0,260.0,0.038713195201745,8.950735
AU,chrysler town and country,210.0,210.0,210.0,260.0,260.0,210.0,210.0,170.0,170.0,210.0,210.0,210.0,210.0,0.051643192488263004,0.7473179999999999
AU,citibank phone number,320.0,390.0,480.0,390.0,320.0,320.0,480.0,480.0,320.0,320.0,320.0,390.0,390.0,0.14651077822432998,4.658655
AU,citibike,140.0,170.0,170.0,170.0,260.0,260.0,210.0,210.0,140.0,140.0,140.0,140.0,170.0,0.10218254,3.00762
AU,city is my church,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,city of oakland,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,classic accessories,20.0,30.0,10.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,30.0,20.0,0.13809523809524,
AU,cleveland oh,50.0,50.0,50.0,50.0,50.0,40.0,70.0,50.0,40.0,50.0,40.0,70.0,50.0,0.006912442396313001,
AU,clinical depression,1900.0,2400.0,1900.0,1900.0,2400.0,2400.0,2400.0,1900.0,1600.0,1900.0,1900.0,2400.0,1900.0,0.119908204,0.65656
AU,cll,1900.0,1900.0,1900.0,1600.0,1900.0,1900.0,1900.0,1900.0,1300.0,1900.0,1900.0,2900.0,1900.0,0.091456355637879,1.659472
AU,cloud computing,3600.0,4400.0,2900.0,2900.0,4400.0,3600.0,3600.0,2400.0,1600.0,1900.0,2400.0,3600.0,2900.0,0.4564051870000001,10.999352
AU,coco rocha,880.0,1000.0,720.0,720.0,720.0,880.0,2400.0,720.0,590.0,720.0,590.0,1300.0,880.0,0.00035360678925,
AU,coin collections,1900.0,1900.0,1600.0,1600.0,2400.0,1900.0,1600.0,1600.0,1300.0,1600.0,1600.0,1900.0,1600.0,0.99008665966387,0.656968
AU,coin purses,1000.0,1000.0,1000.0,1300.0,1000.0,1000.0,1000.0,1600.0,1600.0,1300.0,1300.0,1300.0,1300.0,0.99923896499239,0.554787
AU,colocated server,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.7142857140000001,1.657556
AU,color hair,1000.0,880.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,880.0,880.0,720.0,880.0,880.0,0.07837917800000001,1.03193
AU,coloring pages for girls,720.0,480.0,590.0,590.0,390.0,590.0,390.0,480.0,390.0,480.0,390.0,720.0,480.0,0.037714285714286006,0.044985000000000004
AU,comen,480.0,590.0,480.0,390.0,590.0,390.0,480.0,480.0,390.0,390.0,390.0,480.0,480.0,,
AU,comfortable working shoes,1000.0,880.0,590.0,720.0,880.0,880.0,880.0,1000.0,590.0,1000.0,1000.0,1000.0,880.0,1.0,0.654752
AU,concealed carry,90.0,90.0,170.0,170.0,90.0,90.0,110.0,110.0,90.0,140.0,90.0,110.0,110.0,0.014857143,
AU,content strategist,70.0,90.0,110.0,90.0,70.0,70.0,70.0,70.0,40.0,70.0,50.0,70.0,70.0,0.28937728900000004,5.913542
AU,cool phone cases,590.0,590.0,590.0,720.0,720.0,590.0,590.0,720.0,590.0,590.0,720.0,880.0,720.0,0.34097035000000003,0.464714
AU,corleones,480.0,480.0,590.0,590.0,590.0,480.0,480.0,480.0,390.0,480.0,480.0,480.0,480.0,0.009316770186335002,1.8089970000000002
AU,corn beef and cabbage slow cooker,40.0,10.0,20.0,50.0,30.0,20.0,30.0,20.0,20.0,20.0,40.0,70.0,30.0,0.037105751391466005,
AU,costco coupon,590.0,480.0,480.0,590.0,590.0,480.0,720.0,480.0,720.0,590.0,880.0,720.0,590.0,0.013550135501355,0.730765
AU,cough up blood,1900.0,2400.0,2400.0,2900.0,3600.0,2900.0,2900.0,1900.0,1600.0,1300.0,1600.0,1900.0,2400.0,0.028303374329864007,0.126929
AU,couples photography,880.0,880.0,720.0,720.0,880.0,720.0,720.0,720.0,880.0,880.0,720.0,880.0,720.0,0.14163763099999999,1.777364
AU,coworking,320.0,480.0,320.0,480.0,480.0,480.0,590.0,590.0,260.0,480.0,590.0,880.0,480.0,0.267729895,5.117913
AU,cox communication bill pay,,,,,,,,,,,,,10.0,,
AU,cr2032,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.998780389,0.8892899999999999
AU,craft beer,2400.0,2900.0,2900.0,2900.0,2900.0,3600.0,3600.0,4400.0,4400.0,4400.0,4400.0,4400.0,3600.0,0.186028076,2.831682
AU,craft beers,320.0,390.0,320.0,320.0,390.0,390.0,390.0,480.0,590.0,390.0,390.0,480.0,390.0,0.30631868131868,1.777772
AU,craftsman riding lawn mowers,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95604395604396,0.171434
AU,creation science,260.0,260.0,210.0,170.0,260.0,170.0,260.0,170.0,140.0,170.0,170.0,260.0,210.0,0.160349854,1.188403
AU,crestor side effects,1900.0,1900.0,1600.0,1900.0,1900.0,1900.0,1900.0,1900.0,1600.0,1600.0,1600.0,1900.0,1900.0,0.0006968640000000001,
AU,crimereport,210.0,210.0,140.0,170.0,210.0,210.0,170.0,210.0,140.0,170.0,210.0,320.0,210.0,0.08519793459552501,0.426417
